group_id,time,label,value
173,0,4,-0.40671858
173,1,4,-0.10814506
173,2,4,-0.24866027
173,3,4,0.0404784
173,4,4,-0.24930483
173,5,4,0.2194748
173,6,4,0.32398722
173,7,4,0.36103606
173,8,4,0.22818227
173,9,4,0.39638102
173,10,4,-0.025975412
173,11,4,-0.09966055
173,12,4,0.3328332
173,13,4,0.43012294
173,14,4,0.17568524
173,15,4,-0.29742897
173,16,4,0.2602203
173,17,4,-0.6834106
173,18,4,-0.022837939
173,19,4,0.15703209
173,20,4,-0.39507553
173,21,4,-0.5350707
173,22,4,0.253746
173,23,4,0.4894631
173,24,4,-0.20943756
173,25,4,-0.25771436
173,26,4,0.3343775
173,27,4,0.086846456
173,28,4,-0.24430872
173,29,4,0.09341073
173,30,4,0.51301616
173,31,4,-0.33916897
173,32,4,-0.39139867
173,33,4,-0.24971093
173,34,4,0.21695574
173,35,4,-0.17824996
173,36,4,0.3539807
173,37,4,-0.275489
173,38,4,-0.4838201
173,39,4,0.29751864
173,40,4,-0.1917838
173,41,4,0.24944663
173,42,4,-0.31411695
173,43,4,0.22063561
173,44,4,-0.31406996
173,45,4,-0.1871274
173,46,4,-0.29363927
173,47,4,-0.17331536
173,48,4,0.31221437
173,49,4,-0.24408641
173,50,4,-0.39653414
173,51,4,0.114700206
173,52,4,0.34375167
173,53,4,-0.15062246
173,54,4,-0.07757273
173,55,4,0.012589327
173,56,4,0.40716285
173,57,4,-0.30790237
173,58,4,0.24942946
173,59,4,-0.23909952
173,60,4,0.15987694
173,61,4,0.13287465
173,62,4,0.4765321
173,63,4,0.33346647
173,64,4,0.25423384
173,65,4,0.29404357
173,66,4,0.009459193
173,67,4,0.19028085
173,68,4,1.3456393
173,69,4,-0.29897958
173,70,4,-1.856803
173,71,4,0.19560257
173,72,4,2.8041706
173,73,4,-0.47469646
173,74,4,-1.1373873
173,75,4,0.65857756
173,76,4,0.5387759
173,77,4,0.11340415
173,78,4,0.760892
173,79,4,-1.1167692
173,80,4,-0.52634984
173,81,4,2.7660375
173,82,4,0.48527324
173,83,4,-1.5735524
173,84,4,0.37593615
173,85,4,1.1346853
173,86,4,-0.38647205
173,87,4,-1.7620982
173,88,4,0.53255457
173,89,4,1.2439427
173,90,4,-0.34076113
173,91,4,0.38311067
173,92,4,-0.4158977
173,93,4,-0.60343283
173,94,4,0.41549376
173,95,4,1.1833673
173,96,4,-0.5600987
173,97,4,-0.5391513
173,98,4,0.03894182
173,99,4,0.57362735
173,100,4,-0.099610016
173,101,4,-0.60556304
173,102,4,-0.31243545
173,103,4,-0.0798482
173,104,4,0.26100072
173,105,4,-0.10134945
173,106,4,-0.22807804
173,107,4,-0.11812735
173,108,4,0.28859955
173,109,4,0.03247036
173,110,4,0.42951688
173,111,4,0.21721122
173,112,4,0.066336066
173,113,4,0.34364077
173,114,4,0.41211763
173,115,4,-0.29476935
173,116,4,-0.18063708
173,117,4,0.26220885
173,118,4,-0.47723004
173,119,4,0.1480255
173,120,4,0.5449928
173,121,4,-0.247422
173,122,4,-0.32505938
173,123,4,0.34873968
173,124,4,-0.30074534
173,125,4,-0.37959495
173,126,4,-0.2504989
173,127,4,-0.27932248
173,128,4,-0.3025825
173,129,4,-0.19341336
173,130,4,0.1704105
173,131,4,-0.3236305
173,132,4,-0.24744771
173,133,4,0.33465374
173,134,4,-0.17890745
173,135,4,0.17162044
173,136,4,0.1653322
173,137,4,0.347807
173,138,4,-0.514014
173,139,4,-0.22200304
173,140,4,0.54751724
173,141,4,0.24530967
173,142,4,-0.43901622
173,143,4,0.5013005
173,144,4,0.2890488
173,145,4,-0.3682279
173,146,4,-0.15267667
173,147,4,-0.17661984
173,148,4,-0.4175575
173,149,4,-0.2777813
173,150,4,0.021033913
173,151,4,-0.29703295
173,152,4,-0.48574796
173,153,4,-0.10032291
173,154,4,0.3526661
173,155,4,-0.3172968
173,156,4,0.31370667
173,157,4,-0.34725052
173,158,4,-0.43769062
173,159,4,0.14542037
173,160,4,-0.21946727
173,161,4,0.14780404
173,162,4,0.2941194
173,163,4,-0.05354956
173,164,4,0.05804202
173,165,4,0.10167646
173,166,4,0.2091323
173,167,4,0.1206718
173,168,4,0.20215473
173,169,4,-0.009140117
173,170,4,0.2065946
173,171,4,-0.1791524
173,172,4,0.20582716
173,173,4,0.42461836
173,174,4,0.22528425
173,175,4,-0.360429
173,176,4,0.17467204
173,177,4,-0.3979344
173,178,4,-0.22297928
173,179,4,-0.13738383
173,180,4,-0.4940324
173,181,4,-0.33896157
173,182,4,0.05003174
173,183,4,0.30496392
173,184,4,-0.48859864
173,185,4,-0.2834487
173,186,4,-0.094375394
173,187,4,-0.1781232
173,188,4,-0.2904835
173,189,4,-0.028102206
173,190,4,-0.20798336
173,191,4,0.100783266
173,192,4,-0.17693056
173,193,4,-0.2783175
173,194,4,0.13243195
173,195,4,0.3191331
173,196,4,0.34628153
173,197,4,0.2549291
173,198,4,-0.26977304
173,199,4,0.2828894
173,200,4,-0.1434237
173,201,4,0.29349396
173,202,4,0.090918094
173,203,4,-0.3056122
173,204,4,0.34887844
173,205,4,0.08328076
173,206,4,0.07007726
173,207,4,0.49931943
173,208,4,0.14780276
173,209,4,-0.5669124
173,210,4,0.32560384
173,211,4,-0.11807785
173,212,4,-0.30390152
173,213,4,-0.10295289
173,214,4,0.38106346
173,215,4,0.30861408
173,216,4,-0.3485488
173,217,4,-0.21126565
173,218,4,0.37196916
173,219,4,-0.3537242
173,220,4,-0.11984727
173,221,4,-0.03872932
173,222,4,0.3499778
173,223,4,-0.6938694
173,224,4,0.308854
173,225,4,0.5790981
173,226,4,-0.1576275
173,227,4,-0.42263198
173,228,4,-0.13877338
173,229,4,0.31633556
173,230,4,0.30876052
173,231,4,0.39012575
173,232,4,-0.14824387
173,233,4,0.25333545
173,234,4,-0.30995366
173,235,4,0.29234603
173,236,4,0.10589842
173,237,4,0.07168605
173,238,4,0.023130964
173,239,4,-0.0785378
173,240,4,-0.23057611
173,241,4,0.32189563
173,242,4,0.0110642
173,243,4,0.24931774
173,244,4,0.3378828
173,245,4,-0.3134005
173,246,4,-0.20852317
173,247,4,0.3053765
173,248,4,-0.2478834
173,249,4,-0.30971688
173,250,4,0.41292754
173,251,4,-0.19317757
173,252,4,-0.42614216
173,253,4,0.37653038
173,254,4,0.45351446
173,255,4,0.28695744
173,256,4,0.2839182
173,257,4,0.14840148
173,258,4,-0.0004709534
173,259,4,0.20332022
173,260,4,-0.38685033
173,261,4,-0.37107313
173,262,4,-0.32076532
173,263,4,-0.26398984
173,264,4,-0.28835702
173,265,4,-0.014626168
173,266,4,-0.06674531
173,267,4,0.29822344
173,268,4,-0.13712366
173,269,4,0.12700206
173,270,4,-0.054332715
173,271,4,0.0014091812
173,272,4,0.20369698
173,273,4,-0.21742764
173,274,4,0.11998118
173,275,4,0.13775444
173,276,4,0.23891807
173,277,4,0.34850997
173,278,4,0.046301316
173,279,4,-0.11168724
173,280,4,-0.058169167
173,281,4,-0.24215956
173,282,4,-0.30964738
