group_id,time,value
37,0,1.1789341
37,1,0.99081403
37,2,1.1237597
37,3,-0.99195445
37,4,1.1885016
37,5,0.9151314
37,6,-0.72750336
37,7,-1.0337499
37,8,-0.28677747
37,9,-1.2587652
37,10,1.1689575
37,11,0.49245685
37,12,-0.8618764
37,13,-1.2333149
37,14,-0.90181535
37,15,1.2404083
37,16,-1.1477413
37,17,-0.062279183
37,18,-1.2219455
37,19,0.17875127
37,20,1.2236423
37,21,0.63994145
37,22,-1.2848215
37,23,-0.85357517
37,24,1.1494701
37,25,0.21966326
37,26,-1.2493235
37,27,1.0848646
37,28,1.1946979
37,29,-0.04282513
37,30,-0.4460415
37,31,1.0322002
37,32,1.0322804
37,33,1.145191
37,34,-1.2414894
37,35,-0.66964096
37,36,-1.0694543
37,37,1.4608055
37,38,0.17036371
37,39,-1.7547413
37,40,1.5244169
37,41,-0.83529025
37,42,0.5794031
37,43,-1.503761
37,44,1.5346916
37,45,2.0557837
37,46,0.90726054
37,47,-2.8412058
37,48,-0.9767205
37,49,2.3620114
37,50,1.2037143
37,51,-2.7248929
37,52,-1.2588568
37,53,2.6017966
37,54,-0.91845137
37,55,-1.9385554
37,56,-1.2055143
37,57,1.5282402
37,58,-1.4247131
37,59,0.96050704
37,60,0.08140688
37,61,-0.88639396
37,62,-1.0855321
37,63,-0.75163865
37,64,-0.53750557
37,65,-1.5533148
37,66,-1.6019481
37,67,3.4381227
37,68,1.5784298
37,69,-2.1897795
37,70,-0.49874976
37,71,1.9202147
37,72,2.4671555
37,73,-1.8693436
37,74,-2.337498
37,75,1.4473715
37,76,-0.9851817
37,77,-1.6202611
37,78,-1.0111641
37,79,0.7791696
37,80,-1.0545356
37,81,-0.87980294
37,82,0.9065294
37,83,-0.9545161
37,84,-1.4237125
37,85,1.161472
37,86,1.8641313
37,87,1.2866117
37,88,-1.4708195
37,89,-0.6799233
37,90,1.6901981
37,91,-0.59342635
37,92,0.5309716
37,93,1.104298
37,94,-0.9270623
37,95,-0.48533556
37,96,-0.4147047
37,97,-1.260097
37,98,0.0525107
37,99,-1.0396607
37,100,0.6321775
37,101,0.34507892
37,102,1.0397445
37,103,0.73146796
37,104,-0.16599578
37,105,1.3051596
37,106,1.0025476
37,107,0.61423326
37,108,-1.2439545
37,109,0.722916
37,110,-0.72835547
37,111,-1.7703658
37,112,-1.5427696
37,113,-0.1413104
37,114,-1.001616
37,115,-0.7315508
37,116,0.3982846
37,117,0.7382246
37,118,1.0344667
37,119,-2.240839
37,120,-1.7638979
37,121,2.497894
37,122,2.7399974
37,123,-2.276594
37,124,0.47112414
37,125,2.3562639
37,126,2.4606555
37,127,-0.24691625
37,128,0.56292385
37,129,2.5585
37,130,0.19012834
37,131,0.3392436
37,132,1.0410702
37,133,0.22540538
37,134,-1.2291862
37,135,-1.7406771
37,136,0.21104243
37,137,-0.44036892
37,138,-0.14343044
37,139,0.97288996
37,140,-0.20228918
37,141,-1.2654233
37,142,0.9094173
37,143,0.02324675
37,144,-1.0420418
37,145,0.68696034
37,146,1.5375522
37,147,1.7786707
37,148,1.191983
37,149,1.032333
37,150,1.4427457
37,151,1.2957348
37,152,1.0365396
37,153,0.5340812
37,154,-1.1523186
37,155,1.3559895
37,156,-1.3796756
37,157,0.7595755
37,158,0.9097545
37,159,0.17068283
37,160,0.77879477
37,161,-1.1842475
37,162,-1.1601399
37,163,0.88303936
37,164,1.0337023
37,165,1.2367758
37,166,-0.9938269
37,167,-1.460242
37,168,0.6785006
37,169,1.8028113
37,170,-1.1310185
37,171,-1.3895414
37,172,0.6341133
37,173,-0.80470014
37,174,-1.1189412
37,175,-0.6212843
37,176,-0.46162632
37,177,1.508912
37,178,0.99005425
37,179,0.7465722
37,180,0.9236559
37,181,1.2289182
37,182,0.8210242
37,183,-0.78096634
37,184,1.2271773
37,185,0.86457133
37,186,-0.32337862
37,187,0.9300682
37,188,1.8779584
37,189,0.22756995
37,190,-0.5048173
37,191,-1.3694848
37,192,2.6474752
37,193,0.38267705
37,194,-4.037485
37,195,-0.57890815
37,196,1.6179014
37,197,-1.7166048
37,198,-2.6440408
37,199,0.77842766
37,200,8.462065
37,201,-1.294177
37,202,-5.98183
37,203,2.3228662
37,204,2.959895
37,205,-0.33501682
37,206,-4.6942573
37,207,-1.1348138
37,208,1.5576732
37,209,0.7230976
37,210,-1.6760002
37,211,0.56462985
37,212,1.1289992
37,213,0.39884162
37,214,-0.9675644
37,215,-2.5454452
37,216,-0.6409354
37,217,1.4335749
37,218,-0.7577663
37,219,-1.3126991
37,220,-1.5495164
37,221,2.0416887
37,222,-0.1622226
37,223,-0.36921075
37,224,-1.3377101
37,225,0.8138708
37,226,0.7207862
37,227,0.10955961
37,228,1.1115825
37,229,-0.6781202
37,230,-1.1940598
37,231,-1.570891
37,232,1.4646494
37,233,-0.7984638
37,234,0.72604257
37,235,-1.3907927
37,236,0.32087833
37,237,-0.28462172
37,238,-1.5824404
37,239,0.57338923
37,240,1.2623639
37,241,-2.085555
37,242,-1.1516237
37,243,0.5047912
37,244,-0.8779246
37,245,0.5950296
37,246,1.0119635
37,247,1.0409992
37,248,0.312088
37,249,0.68402934
37,250,-0.76254594
37,251,2.1422727
37,252,0.74098223
37,253,-1.6970927
37,254,-0.41253805
37,255,0.22273497
37,256,-1.1962239
37,257,-1.260963
37,258,-0.056059238
37,259,-1.0086718
37,260,1.0858535
37,261,0.9160554
37,262,0.90542173
37,263,0.5525633
37,264,1.3255194
37,265,0.45074484
37,266,-1.1087857
37,267,-1.6657304
37,268,1.1850513
37,269,0.8256917
37,270,-0.91823614
37,271,-2.3244228
37,272,-0.48275223
37,273,1.8419347
37,274,-1.2094152
37,275,-2.0545857
37,276,-0.29075626
37,277,0.11189439
37,278,0.11207268
37,279,-0.1924684
37,280,0.9673043
37,281,1.8966991
37,282,1.2683334
37,283,-1.3847065
37,284,-0.32067746
37,285,1.5609276
37,286,-0.6256576
37,287,0.6558661
37,288,-1.0981281
37,289,0.118781984
37,290,1.0217972
37,291,-1.7289683
37,292,-0.5691558
37,293,1.3936319
37,294,0.93362606
37,295,0.92998683
37,296,1.0948296
37,297,1.8019564
37,298,1.4082673
37,299,-1.3114909
37,300,-0.38854992
37,301,1.5117108
37,302,2.0106037
37,303,1.1186619
37,304,0.7534127
37,305,0.17530079
37,306,0.8476122
37,307,1.0228759
37,308,-1.4460765
37,309,-1.2874248
37,310,1.3254938
37,311,-0.64429456
37,312,0.35903475
37,313,-1.1940033
37,314,0.6786549
37,315,1.1364188
37,316,1.544588
37,317,-1.3995457
37,318,0.06549418
37,319,-0.9085134
37,320,-0.44353133
37,321,0.89723414
37,322,0.7927517
37,323,1.1707528
37,324,-0.84550273
37,325,0.4095883
37,326,-0.6700066
37,327,-0.54265803
37,328,-1.3214399
37,329,-1.3143215
37,330,-1.0018244
37,331,0.3870442
37,332,-0.5946971
37,333,1.632498
37,334,-0.96690387
37,335,-1.2351589
37,336,-0.85993415
37,337,0.9148763
37,338,1.8025739
37,339,-0.3156819
37,340,-0.49473295
37,341,-0.5780986
37,342,0.44443548
37,343,-2.232202
37,344,-2.4403574
37,345,-0.09033248
37,346,0.9591164
37,347,-1.7404935
37,348,-3.046305
